Vendor,GRAPHTEC Corporation,,,,,,,,,,,,
Model,GL240,,,,,,,,,,,,
Version,Ver1.52  ,,,,,,,,,,,,
MaxChannel,10,,,,,,,,,,,,
WLStartCH,10,,,,,,,,,,,,
MaxLogicChannel,4,,,,,,,,,,,,
Logic/Pulse,Off,Off,,,,,,,,,,,
TempUnit,C,,,,,,,,,,,,
Sampling interval,1s,,,,,,,,,,,,
Total data points,3636,,,,,,,,,,,,
Trigger,0,,,,,,,,,,,,
Start time,2021-12-01,16:12:12,,,,,,,,,,,
End time,2021-12-01,17:12:47,,,,,,,,,,,
Trigger time,2021-12-01,16:12:12,,,,,,,,,,,
AMP settings,,,,,,,,,,,,,
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1, CH 1,M,TEMP,TC_K,2000degC,2,200,0,[degC],28,5,6,0
CH2, CH 2,M,TEMP,TC_K,2000degC,2,200,0,[degC],0,13,23,0
CH3, CH 3,M,TEMP,TC_K,2000degC,2,2000,-200,[degC],9,22,8,0
CH4, CH 4,M,TEMP,TC_K,2000degC,2,2000,-200,[degC],21,0,21,0
Calc settings,,,,,,,,,,,,,
CH,Left term,Operator,Right term,Scaling,Span,,Unit,,,,,,
Data,,,,,,,,,,,,,
Number,Date&Time,ms,CH1,CH2,CH3,CH4,Alarm1-10,AlarmOut,,,,,
NO.,Time,ms,degC,degC,degC,degC,A1234567890,AO1234,,,,,
50,2021-12-01 16:13,0,26,17.7,20.5,16,LLLLLLLLLL,LLLL,,,,,
51,2021-12-01 16:13,0,26,17.7,20.5,16,LLLLLLLLLL,LLLL,,,,,
52,2021-12-01 16:13,0,26,17.7,20.5,16,LLLLLLLLLL,LLLL,,,,,
53,2021-12-01 16:13,0,26.1,17.7,20.5,16,LLLLLLLLLL,LLLL,,,,,
54,2021-12-01 16:13,0,26.1,17.7,20.5,16.1,LLLLLLLLLL,LLLL,,,,,
55,2021-12-01 16:13,0,26.1,17.7,20.5,16.1,LLLLLLLLLL,LLLL,,,,,
56,2021-12-01 16:13,0,26.1,17.7,20.6,16,LLLLLLLLLL,LLLL,,,,,
57,2021-12-01 16:13,0,26.1,17.7,20.6,16,LLLLLLLLLL,LLLL,,,,,
58,2021-12-01 16:13,0,26.2,17.7,20.6,16,LLLLLLLLLL,LLLL,,,,,
59,2021-12-01 16:13,0,26.2,17.7,20.7,16,LLLLLLLLLL,LLLL,,,,,
60,2021-12-01 16:13,0,26.2,17.7,20.7,16.1,LLLLLLLLLL,LLLL,,,,,
61,2021-12-01 16:13,0,26.2,17.7,20.7,16.1,LLLLLLLLLL,LLLL,,,,,
62,2021-12-01 16:13,0,26.3,17.7,20.7,16.1,LLLLLLLLLL,LLLL,,,,,
63,2021-12-01 16:13,0,26.4,17.7,20.7,16.1,LLLLLLLLLL,LLLL,,,,,
64,2021-12-01 16:13,0,26.4,17.7,20.7,16.1,LLLLLLLLLL,LLLL,,,,,
65,2021-12-01 16:13,0,26.5,17.7,20.7,16.1,LLLLLLLLLL,LLLL,,,,,
66,2021-12-01 16:13,0,26.5,17.7,20.8,16.1,LLLLLLLLLL,LLLL,,,,,
67,2021-12-01 16:13,0,26.6,17.7,20.8,16.1,LLLLLLLLLL,LLLL,,,,,
68,2021-12-01 16:13,0,26.7,17.7,20.9,16.1,LLLLLLLLLL,LLLL,,,,,
69,2021-12-01 16:13,0,26.8,17.7,20.9,16.2,LLLLLLLLLL,LLLL,,,,,
70,2021-12-01 16:13,0,26.9,17.7,20.9,16.2,LLLLLLLLLL,LLLL,,,,,
71,2021-12-01 16:13,0,26.9,17.7,20.9,16.1,LLLLLLLLLL,LLLL,,,,,
72,2021-12-01 16:13,0,26.9,17.7,20.9,16.1,LLLLLLLLLL,LLLL,,,,,
73,2021-12-01 16:13,0,27,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
74,2021-12-01 16:13,0,27,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
75,2021-12-01 16:13,0,27.1,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
76,2021-12-01 16:13,0,27.2,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
77,2021-12-01 16:13,0,27.2,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
78,2021-12-01 16:13,0,27.3,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
79,2021-12-01 16:13,0,27.3,17.7,21,16.2,LLLLLLLLLL,LLLL,,,,,
80,2021-12-01 16:13,0,27.4,17.7,21,16.3,LLLLLLLLLL,LLLL,,,,,
81,2021-12-01 16:13,0,27.4,17.7,21,16.3,LLLLLLLLLL,LLLL,,,,,
82,2021-12-01 16:13,0,27.4,17.7,21.1,16.3,LLLLLLLLLL,LLLL,,,,,
83,2021-12-01 16:13,0,27.5,17.7,21.1,16.3,LLLLLLLLLL,LLLL,,,,,
84,2021-12-01 16:13,0,27.6,17.7,21.1,16.3,LLLLLLLLLL,LLLL,,,,,
85,2021-12-01 16:13,0,27.6,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
86,2021-12-01 16:13,0,27.7,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
87,2021-12-01 16:13,0,27.7,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
88,2021-12-01 16:13,0,27.7,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
89,2021-12-01 16:13,0,27.7,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
90,2021-12-01 16:13,0,27.7,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
91,2021-12-01 16:13,0,27.7,17.7,21.2,16.4,LLLLLLLLLL,LLLL,,,,,
