%tq(A)	rpm	v	i	pout	w	eff	pf
0.0 	1784	  217.8 	0.5065	0	73.69	0	0.667
0.1	  1784	217.9      0.509	0	75.7	0	0.684
0.15	1782	  217.9	  0.5113		0 78.12	0	0.701
0.2	   1777	  217.9	  0.5176	  0	82.24	0	0.728
0.25	1767	  217	  0.5359	0	91.42	0	0.781
0.3	  1750  	217.7	  0.57	0	104.3	0	0.842
0.35  	1726	  217.7	0.6392	0	125.5	0	0.901
0.4	  1690	  217.5	  0.7513	0	154	0	0.942
0.45  	1645	  217.1	0.8833	0	184.5	0	0.962
0.5 	1586	  217.2	  1.04	  0	219.4	0	0.971
