%tq(A)	rpm	v	i	pout	w	eff	pf
0.04	1786	219.5	0.5173	0	74.83	0	0.6
0.1	1783	219.5	0.5184	0	78.43	0	0.688
0.2	1777	219.5	0.53	0	84.54	0	0.72
0.25	1754	219.5	0.571	0	103.9	0	0.83
0.3	1739	219.5	0.6187	0	118.4	0	0.873
0.35	1700	219.5	0.73	0	108.9	0	0.93
0.4	1699	219.5	0.7509	0	153.9	0	0.935
0.45	1634	219.5	0.94	0	119.2	0	0.96
0.5	1610	219.5	1.027	0	217.4	0	0.96
