%T[mN.m]	S[r/min]	E6[V]	I6[mA]	Po[mW]	P6[mW]	EffA[%]	Pf[%]
115.625	1763.125	220.72	598	21344.28	113400	18.82212	85.91523
115.625	1762.5	220.72	602	21336.71	114400	18.65097	86.09697
110.1563	1761.875	220.72	598	20320.34	113500	17.90338	85.991
232.8125	1743.75	220.71	659	42504.72	128200	33.15501	88.14153
360.1563	1722.5	220.67	724	64952.65	145000	44.79493	90.75826
477.3438	1700.625	220.65	788	84993.65	161400	52.66026	92.82681
557.0313	1681.875	220.78	836	98088.92	174000	56.37294	94.27212
618.75	1664.375	220.62	873	107823.4	183400	58.79139	95.22264
693.75	1641.875	220.6	923	119258.6	196100	60.8152	96.30978
746.875	1620.625	220.58	962	126729.3	206000	61.51909	97.07915
788.2813	1600	220.57	998	132052.9	215100	61.39139	97.71548
831.25	1580	220.55	1037	137510.4	224600	61.22456	98.20281
864.0625	1560	220.54	1069	141129.1	232500	60.70067	98.61839
878.9063	1541.875	220.53	1097	141885.6	239500	59.24243	98.99909
903.125	1521.25	220.53	1127	143845.1	246600	58.33136	99.22051
917.9688	1495.625	220.69	1157	143746.5	254000	56.59311	99.47586
930.4688	1480.625	220.47	1178	144242.6	258700	55.75671	99.60971
936.7188	1462.5	220.46	1199	143433.9	263600	54.41346	99.72324
946.875	1442.5	220.45	1223	143006.3	269200	53.1227	99.8478
950.7813	1418.125	220.45	1247	141169.8	274800	51.37183	99.9632
946.875	1400.625	220.43	1264	138854.9	278600	49.84024	99.99156
943.75	1303.75	220.41	1348	128824.4	296900	43.38981	99.92841
907.8125	1203.75	220.39	1417	114414	311700	36.70644	99.81023
843.75	1103.75	220.58	1474	97505.97	323400	30.15027	99.46639
787.5	1002.5	220.38	1515	82657.38	331000	24.97202	99.13869
717.1875	904.375	220.37	1546	67909.09	336700	20.16902	98.82827
674.2188	803.75	220.36	1571	56737.28	341200	16.62874	98.55986
594.5313	703.75	220.35	1584	43806.63	343200	12.76417	98.32841
564.0625	603.75	220.37	1592	35655.87	344600	10.34703	98.22448
513.2813	504.375	220.35	1599	27105.39	345900	7.836192	98.17232
467.9688	404.375	220.57	1610	19812.89	348500	5.685191	98.13647
434.375	298.125	220.35	1614	13558.45	348900	3.886055	98.10347
374.2188	195	220.35	1615	7640.237	349300	2.187299	98.15513
592.1875	104.375	220.36	1614	6471.462	349100	1.853756	98.15526
521.0938	0	220.36	1615	0	349300	0	98.15067
