%tq(A)	rpm	v	i	pout	w	eff	pf
0.0 	1786	  216.5 	0.4991	0	71.2	0	0.659
0.1	  1784	216	      0.5019	0	73.37	0	0.676
0.15	1782	  216.4	  0.507		0 76.19	0	0.693
0.2	   1777	  216.2	  0.514	  0	80.87	0	0.726
0.25	1768	  216.6	  0.5334	0	89.4	0	0.775
0.3	  1750  	216.5	  0.5787	0	106.5	0	0.849
0.35  	1726	  216.3	0.6518	0	127.7	0	0.904
0.4	  1692	  216.7	  0.7586	0	154.6	0	0.94
0.45  	1644	  216.6	0.9057	0	188.6	0	0.96
0.5 	1596	  216.5	  1.041	  0	218.4	0	0.969
