39.9,30.1,21,17.6
39.9,30.1,20.9,17.6
39.9,30.1,20.9,17.5
40.1,30.3,20.9,17.5
40.1,30.3,20.9,17.6
40.2,30.3,20.9,17.5
40.3,30.4,20.9,17.5
40.3,30.5,21,17.5
40.4,30.5,21,17.5
40.5,30.5,21,17.6
40.6,30.6,21,17.7
40.6,30.6,21,17.7
40.7,30.7,21,17.6
40.8,30.8,21,17.6
40.9,30.8,21,17.6
41,30.8,21.1,17.6
41.1,30.9,21.1,17.6
41.1,31,21.1,17.6
41.1,31.1,21.1,17.6
41.2,31.1,21.1,17.6
41.2,31.2,21.2,17.6
41.4,31.2,21.2,17.5
41.4,31.2,21.2,17.5
41.4,31.3,21.2,17.5
41.5,31.3,21.2,17.6
41.5,31.4,21.2,17.6
41.7,31.4,21.2,17.7
41.7,31.4,21.2,17.7
41.8,31.5,21.2,17.7
41.8,31.6,21.2,17.6
41.8,31.6,21.2,17.6
41.9,31.6,21.3,17.6
42,31.7,21.3,17.6
42.1,31.8,21.2,17.5
42.1,31.8,21.3,17.5
42.1,31.9,21.3,17.5
42.2,31.9,21.3,17.5
42.3,31.9,21.4,17.6
42.4,32,21.4,17.6
42.4,32.1,21.4,17.6
42.5,32.1,21.4,17.6
42.6,32.1,21.5,17.6
42.6,32.2,21.5,17.5
42.7,32.2,21.5,17.5
42.8,32.3,21.5,17.6
42.8,32.3,21.5,17.6
42.8,32.3,21.6,17.6
42.9,32.4,21.6,17.6
43,32.4,21.6,17.6
43.1,32.4,21.6,17.6
43.1,32.4,21.6,17.6
43.1,32.4,21.6,17.6
43.2,32.5,21.6,17.6
43.2,32.6,21.6,17.6
43.2,32.6,21.6,17.6
43.3,32.6,21.7,17.7
43.5,32.7,21.8,17.6
43.5,32.8,21.8,17.6
43.6,32.8,21.8,17.6
43.6,32.8,21.8,17.6
43.6,32.8,21.8,17.6
43.7,32.9,21.8,17.6
43.7,33,21.8,17.6
43.8,33,21.8,17.6
43.8,33.1,21.8,17.6
43.9,33.1,21.8,17.6
44,33.1,21.9,17.6
44,33.1,22,17.6
44,33.2,22,17.6
44,33.2,22,17.6
44.1,33.2,22,17.6
44.1,33.2,22,17.6
44.2,33.3,22,17.6
44.2,33.4,22,17.6
44.3,33.4,22,17.6
44.3,33.4,22,17.6
44.3,33.4,22,17.6
44.3,33.5,22,17.6
44.4,33.6,22,17.6
44.4,33.6,22.1,17.6
44.5,33.6,22.1,17.6
44.5,33.7,22.1,17.6
44.6,33.7,22.1,17.6
44.6,33.8,22.1,17.6
44.7,33.8,22.1,17.6
44.7,33.8,22.1,17.6
44.7,33.9,22.2,17.6
44.7,33.9,22.2,17.6
44.8,33.9,22.1,17.6
44.9,34,22.2,17.6
44.9,34,22.3,17.6
44.9,34.1,22.3,17.6
45,34.1,22.3,17.6
45,34.1,22.3,17.6
